,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
Vimentin_mean,0.8208008314175741,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00017135931443960169,0.0,0.0,0.009900990099009901
PCNA_mean,0.8118623302669199,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00020832186220768584,0.0,0.0,0.009900990099009901
DAPI_mean,0.7726906978999212,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015709826382493127,0.0,0.0,0.009900990099009901
