,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
GSTM3,0.7297503183023752,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015244616981203762,0.0,0.0,0.011703297989373406
LTF,0.7274036069861146,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001740003607983642,0.0,0.0,0.011703297989373406
DSP,0.7185698031701789,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014122953790921748,0.0,0.0,0.011703297989373406
APOD,0.7087444103654046,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00016605679211614336,0.0,0.0,0.011703297989373406
TTC39A,0.6975445570048039,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014573421027301705,0.0,0.0,0.011703297989373406
CRABP2,0.6972595591434443,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015019182459061992,0.0,0.0,0.011703297989373406
ZNF385B,0.687860430424219,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001815890282250443,0.0,0.0,0.011703297989373406
BMPR1B,0.687009924104034,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00016724002335591868,0.0,0.0,0.011703297989373406
CPB1,0.6863288526806767,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014121419286576597,0.0,0.0,0.011703297989373406
BRINP3,0.6854163464841952,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013561918970309068,0.0,0.0,0.011703297989373406
SELL,0.685130719501976,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001842198684932736,0.0,0.0,0.011703297989373406
LTB,0.6783970374719175,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00018443648137625457,0.0,0.0,0.011703297989373406
LRP1B,0.6635766768292922,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013021255975144484,0.0,0.0,0.011703297989373406
KIAA1324,0.6569040579990939,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013745746889084673,0.0,0.0,0.011703297989373406
EPCAM,0.6464424267069253,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001558422682407218,0.0,0.0,0.011703297989373406
FDCSP,0.6426746336287447,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015376911341117417,0.0,0.0,0.011703297989373406
COL3A1,0.6421213281201351,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015271249594421468,0.0,0.0,0.011703297989373406
MLPH,0.6407841542578253,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015185984856672582,0.0,0.0,0.011703297989373406
CXCR4,0.6402093606931203,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015219123793435005,0.0,0.0,0.011703297989373406
IL7R,0.6375975268244566,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015294515832074945,0.0,0.0,0.011703297989373406
KCNJ3,0.6328557131754161,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00016499514044287407,0.0,0.0,0.011703297989373406
VAV3,0.625256679671826,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012536032876106994,0.0,0.0,0.011703297989373406
TRAF3IP3,0.6209910450224965,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015149416055827843,0.0,0.0,0.011703297989373406
CFB,0.6185683659269184,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001556059601305199,0.0,0.0,0.011703297989373406
ARHGAP15,0.6133910362847148,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015533097784009944,0.0,0.0,0.011703297989373406
FLNB,0.6129742060832432,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012329235334080063,0.0,0.0,0.011703297989373406
CD52,0.6061994548416506,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011888459193393189,0.0,0.0,0.011703297989373406
FCRL1,0.5873043736643354,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014388415232804145,0.0,0.0,0.011703297989373406
APBB2,0.5861172213157017,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001550262723241953,0.0,0.0,0.011703297989373406
SELENOP,0.5856942581705663,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012026963149227907,0.0,0.0,0.011703297989373406
AIMP1,0.5849124513759769,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014077126116775443,0.0,0.0,0.011703297989373406
FN1,0.5801683710674551,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015737491107200983,0.0,0.0,0.011703297989373406
RGS13,0.5796995046857495,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001274114568219726,0.0,0.0,0.011703297989373406
SCGB3A1,0.5704030050674014,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001315570903330145,0.0,0.0,0.011703297989373406
SELENBP1,0.5666870562524277,0.0,8.407771530552179e-05,0.0,0.009900990099009901,8.913676003039346e-05,0.0,0.0,0.011703297989373406
GASK1B,0.5647630659772188,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00017173316957838126,0.0,0.0,0.011703297989373406
EFNA1,0.5590880807443276,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011437722480022407,0.0,0.0,0.011703297989373406
FCMR,0.5584059108513009,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001606266833589472,0.0,0.0,0.011703297989373406
ARHGAP29,0.5556752262646171,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012783529396349574,0.0,0.0,0.011703297989373406
JCHAIN,0.5495828394079516,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001081685113072147,0.0,0.0,0.011703297989373406
HSPA1B,0.5495676451031664,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013846894624096215,0.0,0.0,0.011703297989373406
S100A14,0.5485257902739378,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011315375646275137,0.0,0.0,0.011703297989373406
TACSTD2,0.5451462712865044,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013143789040454822,0.0,0.0,0.011703297989373406
STK17B,0.5429195953333122,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012483593000666863,0.0,0.0,0.011703297989373406
ENAH,0.5405242320609687,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001280810289290971,0.0,0.0,0.011703297989373406
BANK1,0.5385896479808802,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012569516307304272,0.0,0.0,0.011703297989373406
PIK3R3,0.5340158942832542,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012817822970418805,0.0,0.0,0.011703297989373406
ISOC1,0.5336444906318171,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010854574592065642,0.0,0.0,0.011703297989373406
CXCL10,0.5306751475401841,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014254129410509747,0.0,0.0,0.011703297989373406
TGFBR3,0.5287180348569339,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011966788303629515,0.0,0.0,0.011703297989373406
HCLS1,0.5273452629097621,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013581935433469822,0.0,0.0,0.011703297989373406
KCTD3,0.5244424485521487,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012839165808024592,0.0,0.0,0.011703297989373406
IGFBP5,0.5236818571430122,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010014844474732354,0.0,0.0,0.011703297989373406
RHOB,0.5232542340606456,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015893982349435425,0.0,0.0,0.011703297989373406
SOX4,0.5225015122927169,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014154036130235943,0.0,0.0,0.011703297989373406
FCRL2,0.5218053153125981,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001389637384773216,0.0,0.0,0.011703297989373406
GRSF1,0.5168326994112634,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012392286165479913,0.0,0.0,0.011703297989373406
CR2,0.5149124322745918,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001233711367201485,0.0,0.0,0.011703297989373406
ELOVL2,0.5107032670397382,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001444429730893442,0.0,0.0,0.011703297989373406
SYDE2,0.5088155517121051,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00015514619583913844,0.0,0.0,0.011703297989373406
COL6A3,0.5071188185735015,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010090204067075809,0.0,0.0,0.011703297989373406
WIPF1,0.505847798578897,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014921471823916646,0.0,0.0,0.011703297989373406
TCF7,0.5032792459368088,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013996616164984693,0.0,0.0,0.011703297989373406
SYNPO2,0.5003955768288112,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010021822091539673,0.0,0.0,0.011703297989373406
TMEM14C,0.4988612678998175,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.720385465127992e-05,0.0,0.0,0.011703297989373406
SPP1,0.4976300353441581,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012775381512349247,0.0,0.0,0.011703297989373406
EFHD1,0.4967626379786481,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001234704766171113,0.0,0.0,0.011703297989373406
CD2,0.49408012184046096,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012334873949889052,0.0,0.0,0.011703297989373406
SEL1L3,0.49389461780197497,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010503274342742526,0.0,0.0,0.011703297989373406
RIPOR2,0.49352630667761616,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012965870615745429,0.0,0.0,0.011703297989373406
SLC19A2,0.49029889612374983,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001123112674538332,0.0,0.0,0.011703297989373406
SHROOM3,0.489961895466976,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.443403270309637e-05,0.0,0.0,0.011703297989373406
S100P,0.4894673776271917,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010861156037515078,0.0,0.0,0.011703297989373406
CD48,0.4891711432880785,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001433121081082737,0.0,0.0,0.011703297989373406
ZAP70,0.4877934499498269,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010619147500549769,0.0,0.0,0.011703297989373406
CYTIP,0.4866960709868126,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013572866365286676,0.0,0.0,0.011703297989373406
CD53,0.48377159253991936,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001253422303163887,0.0,0.0,0.011703297989373406
GPR160,0.48071910687274794,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001199031797478561,0.0,0.0,0.011703297989373406
BCL11A,0.4789199329006988,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014785284127031585,0.0,0.0,0.011703297989373406
PIGR,0.4727075060506046,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001127728574063215,0.0,0.0,0.011703297989373406
PTPRF,0.4720495042010703,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011981362689665228,0.0,0.0,0.011703297989373406
PRLR,0.47135178205109146,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011370618338091292,0.0,0.0,0.011703297989373406
PIK3CD,0.46937162573133134,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001229160529644724,0.0,0.0,0.011703297989373406
TGFBR2,0.46892710287330885,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013888349791318629,0.0,0.0,0.011703297989373406
FYB1,0.46594315797575186,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001261968438946477,0.0,0.0,0.011703297989373406
ERBB4,0.46353302815999325,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011655178941844576,0.0,0.0,0.011703297989373406
FCRL5,0.4629179540826364,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011806430173490673,0.0,0.0,0.011703297989373406
AGTR1,0.46210343393598263,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011227184479358824,0.0,0.0,0.011703297989373406
UBD,0.4620354712964217,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013025233406060443,0.0,0.0,0.011703297989373406
MBNL1,0.4603876349701911,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00017817982280546988,0.0,0.0,0.011703297989373406
LAPTM5,0.45704561017672324,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013059620466224204,0.0,0.0,0.011703297989373406
HPGD,0.4562970456608062,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011581575457494906,0.0,0.0,0.011703297989373406
TPRG1,0.455608089070786,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010868403580548941,0.0,0.0,0.011703297989373406
C3orf67,0.4551083192199388,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011498686056209575,0.0,0.0,0.011703297989373406
NPY1R,0.4534316405301612,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012581204692099763,0.0,0.0,0.011703297989373406
CXCL9,0.4533867999831106,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010520300273857295,0.0,0.0,0.011703297989373406
MCCC2,0.4422602529992307,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.070676455381252e-05,0.0,0.0,0.011703297989373406
NPNT,0.4419525145747323,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010334974072419954,0.0,0.0,0.011703297989373406
SP140,0.4405625355846058,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013136749509771298,0.0,0.0,0.011703297989373406
CCDC80,0.438231407700052,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010484305728166429,0.0,0.0,0.011703297989373406
ANKRD50,0.4320932434802603,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00013696514137919184,0.0,0.0,0.011703297989373406
PPT1,0.430943120715051,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001141899209068632,0.0,0.0,0.011703297989373406
NEK10,0.42943128170233164,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00012095520972623262,0.0,0.0,0.011703297989373406
CSTA,0.4288771076110583,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001281927885958527,0.0,0.0,0.011703297989373406
ITGA4,0.42642420512405016,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010568657962183235,0.0,0.0,0.011703297989373406
SLC44A4,0.4258860562421346,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.249685771228344e-05,0.0,0.0,0.011703297989373406
PBX1,0.42247437538383925,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011439757369398259,0.0,0.0,0.011703297989373406
MBOAT2,0.4175957721580904,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.999087906234068e-05,0.0,0.0,0.011703297989373406
TNFSF10,0.41265620685036314,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011273754189500116,0.0,0.0,0.011703297989373406
NFKBIZ,0.4117802811059885,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.991515275796701e-05,0.0,0.0,0.011703297989373406
EVA1B,0.4117787228303949,0.0,8.407771530552179e-05,0.0,0.009900990099009901,8.504520978571739e-05,0.0,0.0,0.011703297989373406
ELF3,0.4115351144666511,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.711338282757097e-05,0.0,0.0,0.011703297989373406
CD96,0.4114620077562257,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001050510070108055,0.0,0.0,0.011703297989373406
RFTN1,0.4086655965548792,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.14837511026933e-05,0.0,0.0,0.011703297989373406
ATP1B1,0.4085926827070036,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00010902106694238089,0.0,0.0,0.011703297989373406
TNXB,0.4081922306257863,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001344842609504599,0.0,0.0,0.011703297989373406
CD28,0.4077716316512431,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011776160431029476,0.0,0.0,0.011703297989373406
NCKAP1,0.4061889685721701,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00011734807298150799,0.0,0.0,0.011703297989373406
MZB1,0.40564068117478985,0.0,8.407771530552179e-05,0.0,0.009900990099009901,8.849819377072292e-05,0.0,0.0,0.011703297989373406
RGS1,0.4053270726530306,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.131500118014079e-05,0.0,0.0,0.011703297989373406
PDK1,0.40059416923498853,0.0,8.407771530552179e-05,0.0,0.009900990099009901,7.962293955632347e-05,0.0,0.0,0.011703297989373406
STC2,0.4002060902106809,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.0001279482172800419,0.0,0.0,0.011703297989373406
TIGIT,0.39330670148844543,0.0,8.407771530552179e-05,0.0,0.009900990099009901,9.629954488698069e-05,0.0,0.0,0.011703297989373406
ITM2C,0.39312817045324394,0.0,8.407771530552179e-05,0.0,0.009900990099009901,0.00014031934519453734,0.0,0.0,0.011703297989373406
HIST1H1B,0.38777809539366975,0.0,8.407771530552179e-05,0.0,0.009900990099009901,8.673456593846272e-05,0.0,0.0,0.011703297989373406
